Symbol,EPS_Growth_TTM_YoY,Revenue_Growth_TTM_YoY,Reported_EPS_FY,Estimated_EPS_FY,ROE,EPS_Current_Quarter,EPS_Next_Quarter
FTAIFTAI Aviation Ltd.,#ERROR!,0.4735,4.60 USD,7.01 USD,233.29%,1.29 USD,1.68 USD
CRDOCredo Technology Group Holding Ltd.,7.8977,2.0568,3.46 USD,6.10 USD,34.41%,1.16 USD,1.16 USD
"MUMicron Technology, Inc.",6.9735,1.6698,8.29 USD,68.12 USD,66.64%,25.11 USD,28.47 USD
MTRNMaterion Corporation,6.8061,0.1139,5.44 USD,6.42 USD,8.29%,1.27 USD,1.51 USD
"ALABAstera Labs, Inc.",5.324,1.0418,1.84 USD,3.01 USD,21.11%,0.61 USD,0.69 USD
VICRVicor Corporation,4.8421,0.1559,2.61 USD,3.04 USD,20.49%,0.44 USD,0.65 USD
"DAVEDave, Inc. Class A",3.2793,0.5848,13.53 USD,15.93 USD,111.62%,4.02 USD,3.42 USD
MYRGMYR Group Inc.,3.1656,0.1314,7.53 USD,11.43 USD,22.68%,2.99 USD,2.60 USD
GLWCorning Inc,2.9868,0.2005,2.52 USD,3.19 USD,16.07%,0.70 USD,0.75 USD
TIGOMillicom International Cellular SA,2.5655,0.1297,7.83 USD,3.81 USD,37.77%,0.45 USD,0.73 USD
DIODDiodes Incorporated,2.35,0.1597,1.22 USD,2.62 USD,4.64%,0.43 USD,0.60 USD
"KLICKulicke & Soffa Industries, Inc.",1.8786,0.1116,0.21 USD,3.41 USD,6.39%,0.79 USD,1.06 USD
"TTMITTM Technologies, Inc.",1.4569,0.231,2.46 USD,4.05 USD,11.40%,0.75 USD,0.92 USD
VRTVertiv Holdings Co. Class A,1.3095,0.2895,4.20 USD,6.49 USD,45.10%,1.17 USD,1.42 USD
"AMDAdvanced Micro Devices, Inc.",1.2335,0.3497,4.17 USD,7.47 USD,8.06%,1.37 USD,1.60 USD
"MTZMasTec, Inc.",1.1118,0.2259,6.55 USD,8.83 USD,14.53%,1.39 USD,2.22 USD
"DOCNDigitalOcean Holdings, Inc.",1.095,0.1761,2.12 USD,1.20 USD,70.00%,0.44 USD,0.25 USD
"FIXComfort Systems USA, Inc.",1.0781,0.3843,28.88 USD,43.15 USD,53.29%,10.51 USD,10.42 USD
SIMOSilicon Motion Technology Corporation Sponsored ADRDR,0.804,0.3605,3.55 USD,8.82 USD,20.23%,1.58 USD,2.11 USD
"SEISolaris Energy Infrastructure, Inc. Class A",0.6771,0.8629,0.66 USD,1.36 USD,7.73%,0.30 USD,0.37 USD
"IESCIES Holdings, Inc.",0.6269,0.1616,13.66 USD,19.69 USD,42.50%,4.16 USD,4.83 USD
"AGXArgan, Inc.",0.5977,0.1447,9.74 USD,12.09 USD,38.52%,3.24 USD,2.66 USD
"SNSharkNinja, Inc.",0.5711,0.1591,5.28 USD,6.13 USD,29.37%,1.09 USD,1.09 USD
JBLJabil Inc.,0.5592,0.178,9.75 USD,12.76 USD,66.10%,3.16 USD,4.06 USD
"TERTeradyne, Inc.",0.5293,0.3033,3.96 USD,7.46 USD,28.75%,2.56 USD,2.06 USD
STXSeagate Technology Holdings PLC,0.5223,0.2892,8.10 USD,14.90 USD,1787.97%,4.10 USD,5.08 USD
LRCXLam Research Corporation,0.476,0.2653,4.14 USD,5.69 USD,66.76%,1.47 USD,1.68 USD
"ECGEverus Construction Group, Inc.",0.4668,0.297,3.95 USD,4.53 USD,38.95%,1.14 USD,1.14 USD
MKSIMKS Inc.,0.4258,0.1144,7.88 USD,11.70 USD,12.70%,2.30 USD,2.95 USD
SNEXStoneX Group Inc.,0.425,0.2383,3.93 USD,6.15 USD,19.51%,2.07 USD,1.23 USD
"AMKRAmkor Technology, Inc.",0.374,0.1271,1.50 USD,2.08 USD,10.04%,0.33 USD,0.47 USD
"DYDycom Industries, Inc.",0.3329,0.2976,11.97 USD,16.61 USD,19.70%,4.42 USD,4.71 USD
BEBloom Energy Corporation Class A,0.3286,0.5653,0.76 USD,2.15 USD,0.80%,0.44 USD,0.39 USD
"CASYCasey's General Stores, Inc.",0.3089,0.1016,19.16 USD,21.38 USD,19.15%,4.37 USD,6.62 USD
"STRLSterling Infrastructure, Inc.",0.3074,0.3696,10.88 USD,18.89 USD,34.75%,3.59 USD,4.99 USD
KLACKLA Corporation,0.2855,0.1343,3.33 USD,3.71 USD,94.98%,0.94 USD,1.00 USD
ANETArista Networks Inc,0.2355,0.3057,2.98 USD,3.63 USD,31.52%,0.87 USD,0.88 USD
"SPXCSPX Technologies, Inc.",0.2134,0.1739,6.76 USD,8.02 USD,13.85%,1.69 USD,1.85 USD
NVMINova Ltd.,0.2104,0.2132,8.62 USD,10.47 USD,22.25%,2.33 USD,2.41 USD
TSEMTower Semiconductor Ltd,0.1921,0.1053,2.29 USD,3.34 USD,8.65%,0.65 USD,0.76 USD
"PWRQuanta Services, Inc.",0.1785,0.2109,10.75 USD,14.00 USD,13.39%,2.68 USD,3.29 USD
ARMARM Holdings PLC Sponsored ADRDR,0.136,0.2279,1.77 USD,2.18 USD,11.95%,0.60 USD,0.40 USD
