Symbol,EPS_Growth_TTM_YoY,Revenue_Growth_TTM_YoY,Reported_EPS_FY,Estimated_EPS_FY,ROE,EPS_Current_Quarter,EPS_Next_Quarter
CRDOCredo Technology Group Holding Ltd.,789.77%,205.68%,3.46USD,6.10USD,34.41%,1.16USD,1.16USD
MTRNMaterion Corporation,680.61%,11.39%,5.44USD,6.42USD,8.29%,1.27USD,1.51USD
"ALABAstera Labs, Inc.",532.40%,104.18%,1.84USD,3.01USD,21.11%,0.61USD,0.69USD
VICRVicor Corporation,484.21%,15.59%,2.61USD,3.04USD,20.49%,0.44USD,0.65USD
"MUMicron Technology, Inc.",409.12%,85.55%,8.29USD,63.34USD,39.82%,12.20USD,20.83USD
"DAVEDave, Inc. Class A",327.93%,58.48%,13.53USD,15.93USD,111.62%,4.02USD,3.42USD
MYRGMYR Group Inc.,316.56%,13.14%,7.53USD,11.43USD,22.68%,2.99USD,2.60USD
GLWCorning Inc,298.68%,20.05%,2.52USD,3.19USD,16.07%,0.70USD,0.75USD
TIGOMillicom International Cellular SA,256.55%,12.97%,7.83USD,3.81USD,37.77%,0.45USD,0.73USD
DIODDiodes Incorporated,235.00%,15.97%,1.22USD,2.62USD,4.64%,0.43USD,0.60USD
"KLICKulicke & Soffa Industries, Inc.",187.86%,11.16%,0.21USD,3.41USD,6.39%,0.79USD,1.06USD
"TTMITTM Technologies, Inc.",145.69%,23.10%,2.46USD,4.05USD,11.40%,0.75USD,0.92USD
VRTVertiv Holdings Co. Class A,130.95%,28.95%,4.20USD,6.49USD,45.10%,1.17USD,1.42USD
"AMDAdvanced Micro Devices, Inc.",123.35%,34.97%,4.17USD,7.48USD,8.06%,1.37USD,1.60USD
"MTZMasTec, Inc.",111.18%,22.59%,6.55USD,8.83USD,14.53%,1.39USD,2.22USD
"DOCNDigitalOcean Holdings, Inc.",109.50%,17.61%,2.12USD,1.20USD,70.00%,0.44USD,0.25USD
"FIXComfort Systems USA, Inc.",107.81%,38.43%,28.88USD,43.15USD,53.29%,10.51USD,10.42USD
"ADIAnalog Devices, Inc.",83.19%,29.75%,7.79USD,12.32USD,9.64%,3.09USD,3.31USD
SIMOSilicon Motion Technology Corporation Sponsored ADR,80.40%,36.05%,3.55USD,8.82USD,20.23%,1.58USD,2.11USD
"SEISolaris Energy Infrastructure, Inc. Class A",67.71%,86.29%,0.66USD,1.36USD,7.73%,0.30USD,0.37USD
"IESCIES Holdings, Inc.",62.69%,16.16%,13.66USD,19.69USD,42.50%,4.16USD,4.83USD
"AGXArgan, Inc.",59.77%,14.47%,9.74USD,12.09USD,38.52%,3.24USD,2.66USD
"SNSharkNinja, Inc.",57.11%,15.91%,5.28USD,6.13USD,29.37%,1.09USD,1.09USD
JBLJabil Inc.,55.92%,17.80%,9.75USD,12.76USD,66.10%,3.16USD,4.06USD
"TERTeradyne, Inc.",52.93%,30.33%,3.96USD,7.46USD,28.75%,2.56USD,2.06USD
STXSeagate Technology Holdings PLC,52.23%,28.92%,8.10USD,14.90USD,1787.97%,4.10USD,5.08USD
LRCXLam Research Corporation,47.60%,26.53%,4.14USD,5.69USD,66.76%,1.47USD,1.68USD
"ECGEverus Construction Group, Inc.",46.68%,29.70%,3.95USD,4.53USD,38.95%,1.14USD,1.14USD
MKSIMKS Inc.,42.58%,11.44%,7.88USD,11.70USD,12.70%,2.30USD,2.95USD
SNEXStoneX Group Inc.,42.50%,23.83%,3.93USD,6.15USD,19.51%,2.07USD,1.23USD
"AMKRAmkor Technology, Inc.",37.40%,12.71%,1.50USD,2.08USD,10.04%,0.33USD,0.47USD
"DYDycom Industries, Inc.",33.29%,29.76%,11.97USD,16.61USD,19.70%,4.42USD,4.71USD
BEBloom Energy Corporation Class A,32.86%,56.53%,0.76USD,2.15USD,0.80%,0.44USD,0.39USD
"STRLSterling Infrastructure, Inc.",30.74%,36.96%,10.88USD,18.89USD,34.75%,3.59USD,4.99USD
KLACKLA Corporation,28.55%,13.43%,3.33USD,3.71USD,94.98%,0.94USD,1.00USD
CGNXCognex Corporation,23.59%,13.81%,1.02USD,1.48USD,9.75%,0.34USD,0.42USD
ANETArista Networks Inc,23.55%,30.57%,2.98USD,3.63USD,31.52%,0.87USD,0.88USD
"SPXCSPX Technologies, Inc.",21.34%,17.39%,6.76USD,8.02USD,13.85%,1.69USD,1.85USD
TSEMTower Semiconductor Ltd,19.21%,10.53%,2.29USD,3.34USD,8.65%,0.65USD,0.76USD
"PWRQuanta Services, Inc.",17.85%,21.09%,10.75USD,14.00USD,13.39%,2.68USD,3.29USD
ARMARM Holdings PLC Sponsored ADR,13.60%,22.79%,1.77USD,2.18USD,11.95%,0.60USD,0.40USD
