Symbol	EPS Growth TTM YoY	Revenue Growth TTM YoY	Reported EPS FY	Estimated EPS FY	ROE	Target Price 1Y
KLIC	187.86%	11.16%	0.21 USD	3.41 USD	6.39%	106.25 USD
CRDO	789.77%	205.68%	3.46 USD	6.05 USD	34.41%	266.44 USD
DAVE	327.93%	58.48%	13.53 USD	15.93 USD	111.62%	335.73 USD
MU	409.12%	85.55%	8.29 USD	62.34 USD	39.82%	1021.03 USD
SEI	67.71%	86.29%	0.66 USD	1.36 USD	7.73%	91.45 USD
MYRG	316.56%	13.14%	7.53 USD	11.43 USD	22.68%	489.17 USD
VICR	484.21%	15.59%	2.61 USD	2.97 USD	20.49%	346.25 USD
STX	52.23%	28.92%	8.10 USD	14.90 USD	1787.97%	903.55 USD
FIX	107.81%	38.43%	28.88 USD	43.15 USD	53.29%	2115.29 USD
AEIS	145.48%	22.19%	6.41 USD	9.33 USD	14.66%	394.50 USD
BE	32.86%	56.53%	0.76 USD	2.14 USD	0.80%	279.01 USD
STRL	30.74%	36.96%	10.88 USD	18.89 USD	34.75%	956.43 USD
TER	52.93%	30.33%	3.96 USD	7.37 USD	28.75%	386.47 USD
SIMO	80.40%	36.05%	3.55 USD	8.75 USD	20.23%	283.38 USD
DY	33.29%	29.76%	11.97 USD	16.61 USD	19.70%	637.27 USD
AGX	59.77%	14.47%	9.74 USD	12.09 USD	38.52%	683.83 USD
ECG	46.68%	29.70%	3.95 USD	4.53 USD	38.95%	164.83 USD
CGNX	23.59%	13.81%	1.02 USD	1.48 USD	9.75%	76.25 USD
SNEX	42.50%	23.83%	3.93 USD	6.15 USD	19.51%	123.00 USD
LRCX	47.60%	26.53%	4.14 USD	5.69 USD	66.76%	344.93 USD
ANET	23.55%	30.57%	2.98 USD	3.63 USD	31.52%	190.30 USD
SCCO	36.79%	21.70%	5.14 USD	7.42 USD	46.51%	157.83 USD
TTMI	145.69%	23.10%	2.46 USD	4.05 USD	11.40%	219.60 USD
IESC	62.69%	16.16%	13.66 USD	19.69 USD	42.50%	700.00 USD
DOCN	109.50%	17.61%	2.12 USD	1.20 USD	70.00%	180.64 USD
SPXC	21.34%	17.39%	6.76 USD	8.02 USD	13.85%	266.25 USD
CASY	30.86%	10.16%	19.16 USD	21.37 USD	19.15%	951.25 USD
NVMI	21.04%	21.32%	8.62 USD	10.47 USD	22.25%	597.63 USD
AMD	123.35%	34.97%	4.17 USD	7.48 USD	8.06%	498.62 USD
TIGO	256.55%	12.97%	7.83 USD	4.09 USD	37.77%	81.77 USD
AMKR	37.40%	12.71%	1.50 USD	2.08 USD	10.04%	81.11 USD
FTAI	2363.60%	47.35%	4.60 USD	7.01 USD	233.29%	350.60 USD
STLD	23.40%	10.44%	7.99 USD	15.90 USD	15.25%	270.00 USD
ARM	13.60%	22.79%	1.77 USD	2.18 USD	11.95%	285.20 USD
KLAC	28.55%	13.43%	3.33 USD	3.71 USD	94.98%	204.73 USD
JBL	55.92%	17.80%	9.75 USD	12.76 USD	66.10%	442.30 USD
MKSI	42.58%	11.44%	7.88 USD	11.70 USD	12.70%	359.92 USD
DIOD	235.00%	15.97%	1.22 USD	2.62 USD	4.64%	129.50 USD
TSEM	19.21%	10.53%	2.29 USD	3.34 USD	8.65%	313.83 USD
ALAB	532.40%	104.18%	1.84 USD	3.00 USD	21.11%	257.11 USD
